"ROCode","RONo","RODate","MHCode","MHName","PCode","PName","JobTypeCode","JobTypeName","Caption","EditCentre","DoPubTel","SizeDur","TotSizeDur","GuarantedPos","Premium","StrPre","Rate","StrRate","Amt","NetAmt","Remarks","BillAmt","InvNo","PayAmt","RectNo","RcptAmt","MBAmt","RateCGST","AmtCGST","RateSGST","AmtSGST","RateIGST","AmtIGST","FinalAmt","HSNCode"
$156.00,$2210.00,13-9-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$6.00,"B L AGRO INDUSTRIES LTD.",$4.00,"ADVERTISING IN WAVE CINEMA","BAIL KOLHU OIL","WAVE CINEMA RUDRAPUR","1-9-2017 TO 28-9-2017","20 SEC.","20 SEC. X 4 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$800.00,"FOR 10 SEC.",$25600.00,$19200.00,"SAPORT RO",$28697.60,$2537.00,$0.00,"1675",$47128.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$3456.00,$22656.00,
$157.00,$2211.00,13-9-2017 0:00:00,$16.00,"INDIA TODAY HINDI",$67.00,"COSMOS HOSPITAL",$14.00,"ADVERTISING IN MAGAZINE","DR. ANURAG AGARWAL","INDIA TODAY HINDI  (UP + UK)","27-9-2017","3 FULL PAGE","3 FULL PAGE","GOOD",$0.00,"",$75000.00,"",$75000.00,$63750.00,"",$70200.90,$2616.00,$66938.00,"1661",$70200.00,$66938.00,$2.50,$1593.75,$2.50,$1593.75,$0.00,$0.00,$66937.50,
$158.00,$2212.00,15-9-2017 0:00:00,$18.00,"MUSIC BROADCAST LIMITED",$70.00,"KASHI VISHWANATH STEELS PVT. LTD.",$15.00,"ADVERTISING IN FM RADIO","TMT BARS","RADIO CITY BAREILLY","16-9-2017 TO 15-10-2017 (30 DAYS)","20 SEC.","20 SEC. X 15 SPOT PER DAY X 30 DAYS","8 AM TO 12 PM &  4 PM TO 8 PM",$0.00,"",$75.00,"PER 10 SEC.",$57375.00,$57375.00,"9000 SECOND,
900 SPOT FOR 10 SEC.",$71685.00,$2589.00,$67703.00,,$0.00,$67702.51,$0.00,$0.00,$0.00,$0.00,$18.00,$10327.50,$67702.50,
$159.00,$2213.00,15-9-2017 0:00:00,$18.00,"MUSIC BROADCAST LIMITED",$70.00,"KASHI VISHWANATH STEELS PVT. LTD.",$15.00,"ADVERTISING IN FM RADIO","TMT BARS","RADIO CITY GORAKHPUR","16-9-2017 TO 15-10-2017 (30 DAYS)","20 SEC","20 SEC. X 15 PER DAY X 30 DAYS","8 AM TO 12 PM &  4 PM TO 8 PM",$0.00,"",$80.00,"PER 10 SEC.",$61200.00,$61200.00,"9000 SEC, 900 SPOT FOR 10 SEC.",$76464.00,$2590.00,$72216.00,,$0.00,$71413.04,$0.00,$0.00,$0.00,$0.00,$18.00,$11016.00,$72216.00,
$160.00,$2214.00,15-9-2017 0:00:00,$18.00,"MUSIC BROADCAST LIMITED",$70.00,"KASHI VISHWANATH STEELS PVT. LTD.",$15.00,"ADVERTISING IN FM RADIO","TMT BARS","RADIO CITY AGRA","16-9-2017 TO 15-10-2017 (30 DAYS)","20 SEC.","20 SEC. X 15 PER DAY X 30 DAYS","8 AM TO 12 PM &  4 PM TO 8 PM",$0.00,"",$80.00,"PER DAYS",$61200.00,$61200.00,"9000 SECONDS, 900 SPOT FOR 10 SEC.",$76464.00,$2591.00,$72216.00,,$0.00,$36108.00,$0.00,$0.00,$0.00,$0.00,$18.00,$11016.00,$72216.00,
$161.00,$2215.00,15-9-2017 0:00:00,$2.00,"AMAR UJALA",$71.00,"MEDIA PANDIT",$3.00,"DISPLAY CLASSIFIED","REQUIRED","MORADABAD","17-9-2017","5X3","15 SQCM.","GENRAL (SAMANYA)",$0.00,"",$217.00,"PER SQCM.",$3255.00,$2766.75,"",$3075.98,$2540.00,$2905.00,,$0.00,$0.00,$2.50,$69.17,$2.50,$69.17,$0.00,$0.00,$2905.09,
$162.00,$2216.00,15-9-2017 0:00:00,$3.00,"DAINIK JAGRAN",$71.00,"MEDIA PANDIT",$3.00,"DISPLAY CLASSIFIED","REQUIRED","MORADABAD","17-9-2017","5X3","15 SQCM.","GENRAL - SAMANYA",$0.00,"",$132.00,"PER SQCM.",$1980.00,$1683.00,"",$1871.10,$2541.00,$1767.00,"1676",$4947.00,$0.00,$2.50,$42.08,$2.50,$42.08,$0.00,$0.00,$1767.15,
$163.00,$2217.00,16-9-2017 0:00:00,$11.00,"DAINIK BHASKAR",$51.00,"SIRMAUR SOAP AND ALLIED PRODUCTS PVT. LTD.",$10.00,"ADVERTISING IN NEWS PAPER","RAJHANS SOAP","DAINIK BHASKAR ALL RAJASTHAN","21-9-2017","8X8","64 SQCM.","BACK PAGE ONLY",$0.00,"",$1500.00,"PER SQCM.",$96000.00,$81600.00,"",$90720.00,$2545.00,$85680.00,,$0.00,$85687.00,$0.00,$0.00,$0.00,$0.00,$5.00,$4080.00,$85680.00,
$164.00,$2218.00,15-9-2017 0:00:00,$0.00,"",$0.00,"",$0.00,"","","","","","","",$0.00,"",$0.00,"",$0.00,$0.00,"",$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
$165.00,$2219.00,19-9-2017 0:00:00,$2.00,"AMAR UJALA",$31.00,"DECHOME",$10.00,"ADVERTISING IN NEWS PAPER","GRACE FURNITURE","MORADABAD","20-9-2017","WIDTH-25CM. HEIGHT-16CM.","400 SQCM (QUARTAR PAGE )","PAGE NO. 2 AND PAGE. NO 5",$0.00,"",$72.67,"FAST. RATE",$29068.00,$24707.80,"",$27469.26,$2543.00,$25943.00,"1667",$1667.00,$0.00,$2.50,$617.70,$2.50,$617.70,$0.00,$0.00,$25943.19,
$166.00,$2220.00,20-9-2017 0:00:00,$4.00,"HINDUSTAN",$51.00,"SIRMAUR SOAP AND ALLIED PRODUCTS PVT. LTD.",$10.00,"ADVERTISING IN NEWS PAPER","JIWAN / RAJHANS / AMRIT SOAP","HINDUSTAN ALL EDITION","21-9-2017","8 X 8","64 SQCM.","BACK PAGE ONLY, PAGE NO. 3 OPTIONAL",$0.00,"",$950.00,"PER SQCM.",$60800.00,$51680.00,"BACK PAGE, PAGE NO. 3 OPTIONAL",$57456.00,$2546.00,$54264.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$2584.00,$54264.00,
$167.00,$2221.00,20-9-2017 0:00:00,$2.00,"AMAR UJALA",$37.00,"ANTHEM ADVERTISING AGENCY",$12.00,"RETAIL DEAL ANTHEM","WAVE / PVR --- ANTHEM","MORADABAD","21-9-2017","H-10 CM. W-8CM.","80 SQCM.","PAGE NO.",$0.00,"",$3479.00,"",$3479.00,$2957.50,"",$3105.01,$2547.00,$3105.00,,$0.00,$0.00,$2.50,$73.94,$2.50,$73.94,$0.00,$0.00,$3105.38,
$168.00,$2222.00,20-9-2017 0:00:00,$2.00,"AMAR UJALA",$37.00,"ANTHEM ADVERTISING AGENCY",$12.00,"RETAIL DEAL ANTHEM","WAVE / PVR","MORADABAD","28-9-2017","H-10 CM. W-8CM.","80 SQCM.","PAGE NO. 2",$0.00,"",$3479.00,"",$3479.00,$2957.50,"",$3105.01,$2553.00,$3105.00,,$0.00,$3104.75,$2.50,$73.94,$2.50,$73.94,$0.00,$0.00,$3105.38,
$169.00,$2223.00,20-9-2017 0:00:00,$3.00,"DAINIK JAGRAN",$51.00,"SIRMAUR SOAP AND ALLIED PRODUCTS PVT. LTD.",$1.00,"RETAIL GURU 2","JIWAN/RAJHANS SOAP","MORADABAD, HALDWANI , BAREILLY, BIJNOR","21-9-2017","H-7, W-9","63 SQCM. X 4 - 252 SQCM.","GOOD",$0.00,"",$38.00,"PER SQCM.",$9576.00,$8857.80,"",$9552.06,$2544.00,$9301.00,,$0.00,$0.00,$2.50,$221.45,$2.50,$221.45,$0.00,$0.00,$9300.69,
$170.00,$2224.00,21-9-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$46.00,"BRASSCITY ENTERPRISES",$4.00,"ADVERTISING IN WAVE CINEMA","TVS APACHE","WAVE CINEMA MORADABAD","22-9-2017 TO 19-10-2017","35 SEC.","35 SEC X 3 SCREEN X 4 WEEK","INTERVALL",$0.00,"",$700.00,"FOR 10 SEC.",$29400.00,$22050.00,"",$31222.80,$2566.00,$26019.00,,$0.00,$26019.00,$0.00,$0.00,$0.00,$0.00,$18.00,$3969.00,$26019.00,
$171.00,$2225.00,21-9-2017 0:00:00,$0.00,"",$0.00,"",$0.00,"","","","","","","",$0.00,"",$0.00,"",$0.00,$0.00,"",$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
$172.00,$2226.00,22-9-2017 0:00:00,$0.00,"",$0.00,"",$0.00,"","","","","","","",$0.00,"",$0.00,"",$0.00,$0.00,"",$0.00,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
$173.00,$2227.00,22-9-2017 0:00:00,$12.00,"AMAR UJALA MORADABAD/BAREILLY",$51.00,"SIRMAUR SOAP AND ALLIED PRODUCTS PVT. LTD.",$11.00,"AMAR UJALA 15 LAKH","JIWAN SOAP","AMAR UJALA MEERUT EDITION","30-9-2017","8 X 8","64 SQCM","BACK PAGE ONLY",$0.00,"",$337.25,"PER SQCM.",$21584.00,$18346.40,"RS. 15 LAKHS NET DEAL FOR 12 MONTHS IN AMAR UJALA ALL EDITION OR ANY EDITION AND ANY PAGE. AGREED OLD RATE 2016 - 2017 WITH 75% DISCOUNT.",$20396.88,$2556.00,$19264.00,,$0.00,$0.00,$2.50,$458.66,$2.50,$458.66,$0.00,$0.00,$19263.72,""
$174.00,$2228.00,22-9-2017 0:00:00,$12.00,"AMAR UJALA MORADABAD/BAREILLY",$51.00,"SIRMAUR SOAP AND ALLIED PRODUCTS PVT. LTD.",$11.00,"AMAR UJALA 15 LAKH","JIWAN SOAP","AMAR UJALA MORADABAD","30-9-2017","8 X 8","64 SQCM.","BACK PAGE ONLY",$0.00,"",$238.50,"PER SQCM.",$15264.00,$12974.40,"RS. 15 LAKHS NET DEAL FOR 12 MONTHS IN AMAR UJALA ALL EDITION OR ANY EDITION AND ANY PAGE. AGREED OLD RATE 2016 - 2017 WITH 75% DISCOUNT.",$14424.48,$2557.00,$13623.00,"1792",$100000.00,$0.00,$2.50,$324.36,$2.50,$324.36,$0.00,$0.00,$13623.12,""
$175.00,$2229.00,22-9-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$5.00,"DEVYOG ELECTRONIC",$4.00,"ADVERTISING IN WAVE CINEMA","DEVYOG ELECTRONIC","WAVE CINEMA MORADABAD","27-9-2017 TO 24-10-2017  (4 WEEK)","10 SEC.","10 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$600.00,"FOR 10 SEC.",$7200.00,$5880.00,"USE RUNNING ADVT FOR ADVERTISEMENT.",$8240.27,$2567.00,$6938.00,"1722",$8240.00,$6938.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1058.40,$6938.40,
$176.00,$2230.00,23-9-2017 0:00:00,$2.00,"AMAR UJALA",$31.00,"DECHOME",$2.00,"RUNNING CLASSIFIED","SHOP FOR SALE","MORADABAD","24-9-2017, 25-9-2017, 26`-9-2017","25 WORDS","25 WORDS","FOR SALE - NO RESIDENCE",$0.00,"",$894.00,"FOR 25 WORDS",$1788.00,$1519.80,"RUNNING CLASSIFIED WITH 2 + 1 SCHEME",$1689.66,$2549.00,$1596.00,"1668",$1668.00,$0.00,$2.50,$38.00,$2.50,$38.00,$0.00,$0.00,$1595.79,
$177.00,$2231.00,23-9-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$6.00,"B L AGRO INDUSTRIES LTD.",$4.00,"ADVERTISING IN WAVE CINEMA","BAIL KOLHU OIL","WAVE CINEMA MORDABAD","29-9-2017 TO 26-10-2017","20 SEC.","20 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$700.00,"FOR 10 SEC.",$16800.00,$12600.00,"USE RUNNING ADVT FOR ADVERTISEMENT.",$17841.60,$2585.00,$14868.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$2268.00,$14868.00,
$178.00,$2232.00,23-9-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$6.00,"B L AGRO INDUSTRIES LTD.",$4.00,"ADVERTISING IN WAVE CINEMA","BAIL KOLHU OIL","WAVE CINEMA RUDRAPUR","29-9-2017 TO 26-10-2017","20 SEC.","20 SEC. X 4 SCREEN X 4 WEEK","INTERVALL",$0.00,"",$800.00,"FOR 10 SEC.",$25600.00,$19200.00,"USE RUNNING ADVT FOR ADVERTISEMENT.",$27187.20,$2586.00,$22656.00,"1703",$44648.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$3456.00,$22656.00,
$179.00,$2233.00,25-9-2017 0:00:00,$2.00,"AMAR UJALA",$74.00,"SHAILENDRA KUMAR RASTOGI",$7.00,"SHOKE SAMACHAR","SHOK SAMACHAR","MORADABAD  CITY ONLY","26-9-2017","6X8","48 SQCM.","PERSONAL",$0.00,"",$108.00,"PER SQCM.",$5184.00,$4406.40,"",$4626.72,$2550.00,$4627.00,"1674",$1674.00,$0.00,$2.50,$110.16,$2.50,$110.16,$0.00,$0.00,$4626.72,
$180.00,$2234.00,25-9-2017 0:00:00,$3.00,"DAINIK JAGRAN",$75.00,"KULDEEP KUMAR AGARWAL",$2.00,"RUNNING CLASSIFIED","SUCHNA - NAME CHANGE","DAINIK JAGRAN MORADABAD","26-9-2017","6 LINE","6 LINE","PUBLIC NOTICE - SUCHNA",$0.00,"",$300.00,"",$300.00,$255.00,"",$299.25,$2551.00,$268.00,"1669",$300.00,$0.00,$2.50,$6.38,$2.50,$6.38,$0.00,$0.00,$267.75,
$181.00,$2235.00,26-9-2017 0:00:00,$1.00,"PVR LIMITED",$34.00,"H.S. JEWELS BADAUN PVT. LTD. MBD BRANCH",$5.00,"ADVERTISING IN PVR CINEMA","HARSHAIMAL SHYAMLAL JEWELLERS","PVR CINEMA MORADABAD","30-9-2017 TO 27-10-2017 (4 WEEK)","25 SEC.","25 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$1200.00,"PER 10 SEC.",$36000.00,$21600.00,"USE RUNNING ADVT FOR ADVERTISEMENT.",$31323.05,$2565.00,$25488.00,"1680",$51065.00,$25488.00,$9.00,$1944.00,$9.00,$1944.00,$0.00,$0.00,$25488.00,
$182.00,$2236.00,23-9-2017 0:00:00,$2.00,"AMAR UJALA",$31.00,"DECHOME",$10.00,"ADVERTISING IN NEWS PAPER","SHUBH LABH LOGO","MORADABAD EIDITON","GRACE FURNITURE LOGO SHOPING FASTIVAL","GRACE FURNITURE LOGO SHOPING FASTIVAL","GRACE FURNITURE LOGO SHOPING FASTIVAL","GOOD",$0.00,"",$9412.00,"",$9412.00,$8000.00,"",$8800.05,$2610.00,$8400.00,,$0.00,$0.00,$2.50,$200.00,$2.50,$200.00,$0.00,$0.00,$8400.00,
$183.00,$2237.00,27-9-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$63.00,"CREATIVE WORLD",$4.00,"ADVERTISING IN WAVE CINEMA","CREATIVE WORLD","WAVE CINEMA MORADABAD","29-9-2017 TO 26-10-2017 (4 WEEK)","10 SEC.","10 SEC X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$700.00,"FOR 10 SEC.",$8400.00,$6300.00,"USE RUNNING ADVT OF ADVERTISEMENT.",$9416.40,$2576.00,$7434.00,"1702",$9416.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1134.00,$7434.00,
$184.00,$2238.00,27-9-2017 0:00:00,$3.00,"DAINIK JAGRAN",$76.00,"SATENDRA SING MALIK",$2.00,"RUNNING CLASSIFIED","SUCHNA - NAME CHANGE","MORADABAD","29-9-2017","6 LINE","6 LINE + 3 EXTRA LINE = 9 LINE","PUBLIC NOTICE - NAME CHANGE",$0.00,"",$300.00,"FOR 6 LINE",$450.00,$382.50,"",$470.40,$2558.00,$402.00,"1672",$470.00,$0.00,$2.50,$9.56,$2.50,$9.56,$0.00,$0.00,$401.62,
$185.00,$2239.00,27-9-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$77.00,"EKTA SAREE SANSAR",$4.00,"ADVERTISING IN WAVE CINEMA","EKTA SAREE SANSAR","WAVE CINEMA MORDABAD","29-9-2017 TO 26-10-2017","15 SEC.","15 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$700.00,"FOR 10 SEC.",$12600.00,$9450.00,"ADVT IN ATTCHMENT.",$14124.60,$2575.00,$11151.00,"1697",$14125.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1701.00,$11151.00,
$186.00,$2240.00,28-9-2017 0:00:00,$2.00,"AMAR UJALA",$74.00,"SHAILENDRA KUMAR RASTOGI",$7.00,"SHOKE SAMACHAR","SHOKA SAMACHAR  --- DASWA","MORADABAD CITY ONLY","29-9-2017","6X8","48 SQCM.","PERSONAL",$0.00,"",$108.00,"PER SQCM.",$5184.00,$4406.40,"",$4626.72,$2555.00,$4627.00,,$0.00,$0.00,$2.50,$110.16,$2.50,$110.16,$0.00,$0.00,$4626.72,
$219.00,$2273.00,23-10-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$5.00,"DEVYOG ELECTRONIC",$4.00,"ADVERTISING IN WAVE CINEMA","DEVYOG ELECTRONIC","WAVE CINEMA MORADABAD","25-10-2017 TO 21-11-2017","10 SEC.","10 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$600.00,"FOR 10 SEC.",$7200.00,$5880.00,"USE RUNNING ADVT FOR ADVERTISEMNET.",$8240.27,$2606.00,$6938.00,"1737",$8240.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1058.40,$6938.40,
$187.00,$2241.00,4-10-2017 0:00:00,$2.00,"AMAR UJALA",$31.00,"DECHOME",$10.00,"ADVERTISING IN NEWS PAPER","GRACE FURNITURE / DECHOME","MORDABAD","5-10-2017","HEIGHT-14CM. WIDTH=28CM.","392 SQCM.","PAGE NO. 2  & PAGE NO. 5 ONLY",$0.00,"",$72.67,"FAST. RATE",$28486.64,$24213.64,"",$26919.87,$2560.00,$25425.00,,$0.00,$25424.33,$2.50,$605.34,$2.50,$605.34,$0.00,$0.00,$25424.32,
$188.00,$2242.00,5-10-2017 0:00:00,$4.00,"HINDUSTAN",$31.00,"DECHOME",$10.00,"ADVERTISING IN NEWS PAPER","GRACE / DECHOME","MORADABAD CITY + DEHAT","6-10-2017","HEIGHT-16CM. WIDTH-25CM.","400 SQCM. ( COLOUR)","PAGE NO. 2 & PAGE NO. 5",$0.00,"",$25.41,"PER SQCM.",$10164.00,$8639.40,"DEAL AMOUNT - 61000 + GST EXTRA
EDITION - CITY + DEHAT",$9604.98,$2561.00,$9071.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$431.97,$9071.37,
$189.00,$2243.00,5-10-2017 0:00:00,$2.00,"AMAR UJALA",$9.00,"KHWAJA PUBLIC SCHOOL",$2.00,"RUNNING CLASSIFIED","REQUIRED TEACHERS","MORADABAD CITY","6-10-2017, 7-10-2017, 8-10-2017","25 WORDS","25 WORDS + 2 WORDS EXTRA - 27 WORDS","REQUIRED TEACHERS",$0.00,"",$894.00,"FOR 25 WORDS",$1908.00,$1621.80,"2+1 SCHEME",$2000.25,$2571.00,$1703.00,"1682",$1682.00,$0.00,$2.50,$40.55,$2.50,$40.55,$0.00,$0.00,$1702.89,
$190.00,$2244.00,6-10-2017 0:00:00,$3.00,"DAINIK JAGRAN",$78.00,"UTTKARSH MALIK",$2.00,"RUNNING CLASSIFIED","NAME CHANGE- SUCHNA","MORADABAD CITY","7-10-2017","5 LINE","5 LINE + 3 EXTRA LINE","NAME CHANGE",$0.00,"",$300.00,"",$450.00,$382.50,"CLIENT MOBILE NUMBER -  9634630000",$470.40,$2568.00,$402.00,"1678",$470.00,$7434.00,$2.50,$9.56,$2.50,$9.56,$0.00,$0.00,$401.62,
$191.00,$2245.00,6-10-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$7.00,"MADHURAM FURNITURE",$4.00,"ADVERTISING IN WAVE CINEMA","MADHURAM FURNITURE","WAVE CINEMA MORADABAD","10-10-2017 TO 6-11-2017","30 SEC.","30 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$600.00,"PER 10 SECOND",$21600.00,$17640.00,"USE RUNNING ADVT FOR ADVERTISEMENT.",$23690.84,$2595.00,$20815.00,"1705",$23453.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$3175.20,$20815.20,
$192.00,$2246.00,7-10-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$62.00,"DADA SWEETS & BAKERS",$4.00,"ADVERTISING IN WAVE CINEMA","DADA SWEETS & BAKERS","WAVE CINEMA MORADABAD","8-10-2017 TO 21-10-2017","10 SEC.","10 SEC X 3 SCREEN X 2 WEEK","INTERVALL",$0.00,"",$700.00,"FOR 10 SEC.",$4200.00,$3150.00,"USE OLD ADVT FOR ADVERTISING.",$3964.80,$2574.00,$3717.00,"1692",$4600.00,$3717.00,$0.00,$0.00,$0.00,$0.00,$18.00,$567.00,$3717.00,
$193.00,$2247.00,7-10-2017 0:00:00,$2.00,"AMAR UJALA",$31.00,"DECHOME",$10.00,"ADVERTISING IN NEWS PAPER","GRACE FURNITURE","AMAR UJALA MORDABAD  EDITION","8-10-2017","HEIGHT-20CM. WIDTH-12","240 SQCM.","PAGE NO. 2 & PAGE NO. 5",$0.00,"",$72.67,"PER SQCM.",$17440.80,$14824.68,"",$16481.56,$2569.00,$15566.00,,$0.00,$15565.91,$2.50,$370.62,$2.50,$370.62,$0.00,$0.00,$15565.91,
$194.00,$2248.00,7-10-2017 0:00:00,$4.00,"HINDUSTAN",$31.00,"DECHOME",$10.00,"ADVERTISING IN NEWS PAPER","GRACE FURNITURE AD","HINDUSTAN CITY + DEHAT","9-10-2017","WIDTH-16CM. HEIGHT-25CM.","400 SQCM.","PAGE NO. 2 & PAGE NO. 5",$0.00,"",$25.41,"PER SQCM.",$10164.00,$8639.40,"DEAL AMOUNT -61000
EDITION - CITY + DEHAT",$9604.98,$2570.00,$9071.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$431.97,$9071.37,
$195.00,$2249.00,9-10-2017 0:00:00,$2.00,"AMAR UJALA",$61.00,"ROOP KISHOR",$2.00,"RUNNING CLASSIFIED","FOR SALE - RIHAYASHI","AMAR UJALA MORADBAD","10-10-2017, 15-10-2017, 22-10-2017","25 WORDS","25 WORDS","FOR SALE - RIHAYASHI",$0.00,"",$894.00,"FOR 25 WORDS",$1788.00,$1519.80,"RUNNING CLASSIFIED WITH 2+1 SCHEME",$1800.75,$2596.00,$1596.00,"1699",$1699.00,$1595.79,$2.50,$38.00,$2.50,$38.00,$0.00,$0.00,$1595.79,
$196.00,$2250.00,9-10-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$27.00,"AARNA LIGHTING & APPLIANCES",$4.00,"ADVERTISING IN WAVE CINEMA","AARNA LIGHTING","WAVE CINEMA MORADABAD","12-10-2017 TO 8-11-2017","10 SEC","10 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$600.00,"FOR 10 SEC.",$7200.00,$5880.00,"USE RUNNING ADVT OF ADVERTISEMENT.",$7646.40,$2579.00,$6938.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1058.40,$6938.40,
$197.00,$2251.00,9-10-2017 0:00:00,$5.00,"QUBE CINEMA TECHNOLOGIES PVT. LTD.",$34.00,"H.S. JEWELS BADAUN PVT. LTD. MBD BRANCH",$4.00,"ADVERTISING IN WAVE CINEMA","HARSHAIMAL SHYAMLAL JEWELLERS","WAVE CINEMA MORADABAD","14-10-2017 TO 10-11-2017 (4 WEEK)","25 SEC.","25 SEC. X 3 SCREEN X 4 WEEK","INTERALL",$0.00,"",$600.00,"FOR 10 SEC.",$18000.00,$14700.00,"USE RUNNING ADVT FOR ADVERTISEMENT.",$20178.00,$2588.00,$17346.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$2646.00,$17346.00,
$198.00,$2252.00,10-10-2017 0:00:00,$1.00,"PVR LIMITED",$27.00,"AARNA LIGHTING & APPLIANCES",$5.00,"ADVERTISING IN PVR CINEMA","AARNA LIGHTING","PVR CINEMA MORDABAD","13-10-2017 TO 9-11-2017 (4 WEEK)","10 SEC.","10 SEC. X 3 SCREEN X 4 WEEK","INTERVAL",$0.00,"",$1200.00,"FOR 10 SEC.",$14400.00,$8640.00,"USE RUNNING ADVT FOR ADVERTISEMENT.",$13593.60,$2578.00,$10195.00,,$0.00,$10196.00,$9.00,$777.60,$9.00,$777.60,$0.00,$0.00,$10195.20,
$199.00,$2253.00,10-10-2017 0:00:00,$2.00,"AMAR UJALA",$31.00,"DECHOME",$10.00,"ADVERTISING IN NEWS PAPER","GRACE FURNITURE","MOARDABAD EDITION","11-10-2017","HEIGHT-20 CM. WIDTH-12 CM","240 SQCM.","PAGE NO. 2 AND PAGE NO. 5",$0.00,"",$72.67,"PER SQCM. ,  FAST. RATE",$17440.80,$14824.68,"RETAIL FAV.",$16481.56,$2572.00,$15566.00,,$0.00,$15565.91,$2.50,$370.62,$2.50,$370.62,$0.00,$0.00,$15565.91,
$200.00,$2254.00,11-10-2017 0:00:00,$4.00,"HINDUSTAN",$31.00,"DECHOME",$10.00,"ADVERTISING IN NEWS PAPER","GRACE FURNITURE","MORADABAD CITY AND DEHAT","12-10-2017","HEIGHT-16CM. WIDTH-25 CM","400 SQCM.","PAGE NO. 2 AND PAGE NO. 5",$0.00,"",$25.41,"PER SQCM.",$10164.00,$8639.40,"DEAL AMOUNT -61000
EDITION - CITY + DEHAT",$9604.98,$2573.00,$9071.00,"1683",$86656.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$431.97,$9071.37,
$201.00,$2255.00,13-10-2017 0:00:00,$9.00,"GAUTAM FILM PRODUCTION",$79.00,"ORIENT ELECTRIC",$16.00,"AD PRODCTION","VOICE CRATIVE AND ANIMATION","MORADABAD","NA","10 SEC.","10 SEC.","GOOD",$0.00,"",$5000.00,"",$5000.00,$5000.00,"",$5900.00,$2615.00,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.00,$900.00,$5900.00,
$202.00,$2256.00,13-10-2017 0:00:00,$18.00,"MUSIC BROADCAST LIMITED",$70.00,"KASHI VISHWANATH STEELS PVT. LTD.",$15.00,"ADVERTISING IN FM RADIO","TMT BARS","RADIO CITY AGRA","16-10-2017 TO 20-10-2017","20 SEC.","20 SEC. X 15 ADVT PER DAY X 5 DAYS","8 AM TO 12 PM & 4 PM TO 8 PM",$0.00,"",$80.00,"PER 10 SEC.",$10200.00,$10200.00,"1500 SECONDS, 150 SPOT FOR 10 SEC.",$12744.00,$2592.00,$12036.00,,$0.00,$12036.00,$0.00,$0.00,$0.00,$0.00,$18.00,$1836.00,$12036.00,
